id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,location,last_review_year
51367977,Rental unit in Austin · 1 bedroom · 1 bed · 1 bath,57177598,Brandon,,78753,30.34589,-97.69969,Entire home/apt,165,2,1,2021-10-25,0.04,1,0,0,,"(-97.69969, 30.34589)",2021.0
51383331,Rental unit in Austin · ★4.85 · 3 bedrooms · 5 beds · 2.5 baths,415706517,Black Opal,,78702,30.27909278869629,-97.72293853759766,Entire home/apt,274,1,13,2023-04-23,0.6,9,289,3,,"(-97.72293853759766, 30.27909278869629)",2023.0
51383341,Rental unit in Austin · ★4.85 · 2 bedrooms · 6 beds · 1.5 baths,415706517,Black Opal,,78702,30.27909278869629,-97.72293853759766,Entire home/apt,222,1,33,2023-06-30,1.34,9,301,5,,"(-97.72293853759766, 30.27909278869629)",2023.0
51392867,Rental unit in Austin · 1 bedroom · 1 shared bath,233101537,Shelby,,78731,30.3481,-97.75224,Private room,48,1,0,,,1,0,0,,"(-97.75224, 30.3481)",
51393877,Condo in Austin · 1 bedroom · 1 bed · 1 private bath,361355108,Renae,,78744,30.1661,-97.732,Private room,81,1,2,2021-11-07,0.09,4,36,0,,"(-97.732, 30.1661)",2021.0
51396547,Rental unit in Austin · ★4.56 · 1 bedroom · 1 bed · 1 bath,416247836,Jeff,,78745,30.201,-97.78558,Entire home/apt,427,1,75,2023-04-17,2.95,1,365,7,,"(-97.78558, 30.201)",2023.0
51409278,Rental unit in Austin · ★4.82 · 2 bedrooms · 3 beds · 2 baths,131246063,Casitas,,78741,30.22629,-97.70672,Entire home/apt,95,2,74,2023-07-31,2.91,3,136,33,,"(-97.70672, 30.22629)",2023.0
51409467,Condo in Austin · 2 bedrooms · 3 beds · 2 baths,411546857,Anna,,78701,30.27058,-97.74872,Entire home/apt,238,2,1,2023-07-23,0.6,30,337,1,,"(-97.74872, 30.27058)",2023.0
51412923,Home in Austin · ★5.0 · 3 bedrooms · 3 beds · 2 baths,416397892,Elva Maribel,,78754,30.3372,-97.6452,Entire home/apt,280,2,19,2023-01-02,0.78,1,228,4,,"(-97.6452, 30.3372)",2023.0
51416120,Rental unit in Austin · ★4.78 · 1 bedroom · 1 bed · 1 bath,387999793,Cierra,,78741,30.23365,-97.7387,Entire home/apt,102,3,18,2022-08-22,0.99,1,0,0,,"(-97.7387, 30.23365)",2022.0
51425579,Home in Austin · ★5.0 · 3 bedrooms · 3 beds · 2 baths,13001932,Lo,,78749,30.20484,-97.85461,Entire home/apt,450,3,8,2023-08-28,0.33,1,357,5,,"(-97.85461, 30.20484)",2023.0
